pl_name,hostname,pl_letter,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,st_age,st_rotp,mass_class,evol_stage,host_bin,secs_pl_orbper,msol_kg,a_calc,st_mass_bin,age_bin,j_mass_bin,log10_tau_wein,t_a_wein_yr,t_a_wein_sec,Pdot_WN_ss,Pdot_WN_ms_yr,Mp_kg,Rstar_m,a_m,n_rad_s,Prot_sec,Omega_st_rad_s,adot_over_a_Q6,adot_over_a_Q7,adot_over_a_Q8,Pdot_Q6_ms_yr,Pdot_Q7_ms_yr,Pdot_Q8_ms_yr,ratio_WN_to_Q6,ratio_WN_to_Q7,ratio_WN_to_Q8,abs_Pdot_WN,abs_Pdot_Q7
TOI-5205 b,TOI-5205,b,1,1,1.630757,0.0199,1.03,1.08,0.02,M4.0,3430.00,0.394,0.392,0.0000,4.84,,,Cool,Main Sequence,Cool MS,140897.4048,7.79688E+29,0.01985,,,,,,,,,,,,,,,,,,,,,,,,,
WASP-68 b,WASP-68,b,2,1,5.0843,0.06206,1.32,1.08,0,G0,5910.00,1.79,1.49,0.2200,4.17,5.7000,,Hot,Main Sequence,,439283.52,2.96361E+30,0.06610,1.5,2.5,1,9.781615267,6048048520,1.90862E+17,-3.45237E-12,-0.108948412,2.04998E+27,1245303000,9284043856,1.43033E-05,0,0,-1.93315E-18,-1.93315E-19,-1.93315E-20,-0.040198099,-0.00401981,-0.000401981,2.710287627,27.10287627,271.0287627,0.108948412,0.00401981
WASP-171 b,WASP-171,b,1,1,3.8186244,0.0504,0.98,1.084,0,G0,5965.00,1.637,1.171,0.0400,4.08,5.9080,,Hot,Main Sequence,,329929.1482,2.32912E+30,0.05040,1.2,6,1,8.692780702,492924837.6,1.55555E+16,-3.18147E-11,-1.00399429,2.05757E+27,1138860900,7539732683,1.9044E-05,0,0,-5.95263E-18,-5.95263E-19,-5.95263E-20,-0.092966148,-0.009296615,-0.000929661,10.79956856,107.9956856,1079.956856,1.00399429,0.009296615
HIP 91258 b,HIP 91258,b,1,1,5.0505,0.06,1.23,1.09,0.02,G5 V,5519.00,0.89,0.97,0.2300,4.53,2.4000,,Solar,Main Sequence,Solar MS,436363.2,1.92933E+30,0.05703,1,4.6,1,12.89500353,7.85242E+12,2.47804E+20,-2.64139E-15,-8.33558E-05,2.06896E+27,619173000,8975872242,1.4399E-05,0,0,-1.08534E-19,-1.08534E-20,-1.08534E-21,-0.002241869,-0.000224187,-2.24187E-05,0.037181385,0.371813855,3.718138549,8.33558E-05,0.000224187
KPS-1 b,KPS-1,b,1,1,1.706291,0.0269,1.03,1.09,0,K1 V,5165.00,0.907,0.892,0.2200,4.47,,,Cool,Main Sequence,Cool MS,147423.5424,1.77419E+30,0.02690,,,,,,,,,,,,,,,,,,,,,,,,,
CoRoT-35 b,CoRoT-35,b,1,1,3.22748,0.0429,1.68,1.1,0,F6 V,6390.00,1.65,1.01,-0.5000,4.01,6.1000,,Solar,Main Sequence,Solar MS,278854.272,2.00889E+30,0.04289,1,8.72,1,11.04341392,1.10513E+11,3.48753E+18,-1.19936E-13,-0.003784902,2.08794E+27,1147905000,6417748653,2.25321E-05,0,0,-1.92927E-17,-1.92927E-18,-1.92927E-19,-0.254663267,-0.025466327,-0.002546633,0.014862379,0.14862379,1.486237898,0.003784902,0.025466327
TOI-858 B b,TOI-858 B,b,2,1,3.2797178,0.04435,1.255,1.1,0.15,G0,5842.00,1.308,1.081,0.1530,4.238,6.8000,,Solar,Main Sequence,Solar MS,283367.6179,2.15011E+30,0.04434,1,8.72,1,11.08823189,1.22527E+11,3.86666E+18,-1.09927E-13,-0.003469042,2.08794E+27,909975600,6634665566,2.21733E-05,0,0,-4.70277E-18,-4.70277E-19,-4.70277E-20,-0.06308111,-0.006308111,-0.000630811,0.054993361,0.549933606,5.499336055,0.003469042,0.006308111
CoRoT-19 b,CoRoT-19,b,1,1,3.89713,0.0518,1.29,1.11,0.047,F9 V,6090.00,1.65,1.21,-0.0200,4.07,5.0000,,Hot,Main Sequence,,336712.032,2.40669E+30,0.05165,1.2,6,1,8.744271874,554973024.5,1.75136E+16,-2.88386E-11,-0.910076753,2.10692E+27,1147905000,7749169702,1.86604E-05,0,0,-5.24344E-18,-5.24344E-19,-5.24344E-20,-0.083573822,-0.008357382,-0.000835738,10.88949538,108.8949538,1088.949538,0.910076753,0.008357382
TOI-3819 b,TOI-3819,b,1,1,3.2443141,0.04611,1.172,1.11,0,,5859.00,1.538,1.242,0.2730,4.156,4.5000,,Hot,Main Sequence,,280308.7382,2.47034E+30,0.04611,1.2,4,1,11.14958972,1.4112E+11,4.45342E+18,-9.44135E-14,-0.002979464,2.10692E+27,1069986600,6897957818,2.24152E-05,0,0,-7.72569E-18,-7.72569E-19,-7.72569E-20,-0.102510696,-0.01025107,-0.001025107,0.02906491,0.290649104,2.906491039,0.002979464,0.01025107
WASP-78 b,WASP-78,b,1,1,2.17518,0.03488,1.93,1.11,0,,6100.00,2.46,1.87,-0.3500,4.1,2.8000,,Hot,Main Sequence,,187935.552,3.71943E+30,0.04048,2,0.92,1,7.208309913,16155109.75,5.09816E+14,-5.52951E-10,-17.44979343,2.10692E+27,1711422000,5217973730,3.34327E-05,0,0,-3.23469E-16,-3.23469E-17,-3.23469E-18,-2.877638673,-0.287763867,-0.028776387,6.063927899,60.63927899,606.3927899,17.44979343,0.287763867
